date	link	text
2018-05-29 00:09	https://newyork.craigslist.org/mnh/egr/d/drafting-rendering-services/6601798348.html	Drafting/rendering services
2018-05-28 21:48	https://newyork.craigslist.org/brk/egr/d/architect-project-manager/6601732473.html	Architect / Project Manager
2018-05-28 12:05	https://newyork.craigslist.org/brk/egr/d/assistant-estimator-general/6601220024.html	Assistant Estimator - General Construction
2018-05-28 08:44	https://newyork.craigslist.org/brk/egr/d/project-manager-super-for/6601056022.html	Project Manager/Super for CONCRETE CONSTRUCTION
2018-05-28 07:46	https://newyork.craigslist.org/mnh/egr/d/architectural-consultant/6601032423.html	Architectural Consultant/Expediter
2018-05-26 14:50	https://newyork.craigslist.org/brk/egr/d/project-architect/6599887044.html	Project Architect
2018-05-25 17:53	https://newyork.craigslist.org/mnh/egr/d/jr-interior-design-positions/6599191498.html	Jr Interior Design Positions Available
2018-05-25 17:17	https://newyork.craigslist.org/mnh/egr/d/entry-level-plumbing-fire/6599157190.html	ENTRY LEVEL PLUMBING/FIRE PROTECTION ENGINEERING
2018-05-25 16:54	https://newyork.craigslist.org/mnh/egr/d/entry-level-electrical/6599134429.html	Entry Level Electrical Engineering
2018-05-25 16:41	https://newyork.craigslist.org/mnh/egr/d/entry-level-mechanical/6599120946.html	ENTRY LEVEL MECHANICAL ENGINEER -- HVAC
2018-05-25 16:21	https://newyork.craigslist.org/mnh/egr/d/architectural-designer/6599100308.html	Architectural Designer
2018-05-25 16:12	https://newyork.craigslist.org/lgi/egr/d/cad-drafter-for-engineering/6599090413.html	CAD Drafter for Engineering Firm
2018-05-25 16:09	https://newyork.craigslist.org/mnh/egr/d/architect/6599087071.html	Architect
2018-05-25 15:47	https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6599063642.html	Facade / Building Envelope Project Architect or Engineer
2018-05-25 12:17	https://newyork.craigslist.org/mnh/egr/d/mep-design-engineer/6598817765.html	MEP Design Engineer - Electrical+Fire Alarm
2018-05-25 11:39	https://newyork.craigslist.org/mnh/egr/d/mechanical-engineer/6598773061.html	Mechanical Engineer
2018-05-25 11:26	https://newyork.craigslist.org/jsy/egr/d/plumbing-fire-protection/6598758121.html	Plumbing / Fire Protection Designer
2018-05-25 08:37	https://newyork.craigslist.org/lgi/egr/d/electrical-estimator/6598604583.html	Electrical Estimator
2018-05-25 06:15	https://newyork.craigslist.org/mnh/egr/d/architectural-project/6598556268.html	Architectural Project Associate   55-65k  Depending on experience
2018-05-24 22:15	https://newyork.craigslist.org/brk/egr/d/3d-renderer-and-designer/6598445911.html	3D Renderer and Designer
2018-05-24 22:10	https://newyork.craigslist.org/mnh/egr/d/junior-superintendent/6598443385.html	Junior Superintendent (Construction)
